,dir,idx,psnr,ssim,time,score
96,0062_003_S6_03200_02500_4400_L,0,43.62791,0.96253,4.38min,52.59409333333333
97,0062_003_S6_03200_02500_4400_L,1,43.71285,0.9632,4.36min,52.88759999999999
98,0063_003_GP_00100_00100_4400_N,0,47.16253,0.99463,3.35min,65.22974666666666
99,0063_003_GP_00100_00100_4400_N,1,47.21518,0.99465,3.36min,65.37214666666667
100,0064_003_GP_01600_01600_4400_N,0,47.1816,0.9881,3.36min,64.6276
101,0064_003_GP_01600_01600_4400_N,1,47.06658,0.98868,3.36min,64.37888000000001
102,0065_003_GP_10000_08460_4400_N,0,39.45982,0.93799,3.36min,39.02518666666666
103,0065_003_GP_10000_08460_4400_N,1,39.51496,0.9384,3.35min,39.21322666666667
104,0066_003_GP_00100_00200_3200_L,0,63.61621,0.99737,3.36min,109.38022666666667
105,0066_003_GP_00100_00200_3200_L,1,63.60269,0.99739,3.35min,109.34617333333334
106,0068_003_IP_00200_00400_3200_N,0,50.38943,0.9958,3.31min,73.95181333333333
107,0068_003_IP_00200_00400_3200_N,1,50.41478,0.99581,3.31min,74.02041333333334
108,0069_003_IP_01000_02000_3200_N,0,60.37605,0.99751,3.31min,100.7538
109,0069_003_IP_01000_02000_3200_N,1,60.4173,0.99751,3.31min,100.8638
110,0070_003_IP_02000_04000_3200_N,0,62.20036,0.99679,3.31min,105.54662666666665
111,0070_003_IP_02000_04000_3200_N,1,62.16774,0.9967,3.31min,105.45064000000002
112,0072_003_IP_01000_02000_5500_L,0,62.85524,0.99643,3.31min,107.25697333333335
113,0072_003_IP_01000_02000_5500_L,1,62.84629,0.99645,3.31min,107.23510666666667
114,0073_003_IP_00200_01000_5500_L,0,62.25155,0.997,3.31min,105.70413333333333
115,0073_003_IP_00200_01000_5500_L,1,62.25015,0.99704,3.32min,105.70439999999999
116,0075_004_N6_00800_00080_3200_L,0,47.38708,0.98652,3.57min,65.01754666666666
117,0075_004_N6_00800_00080_3200_L,1,47.59894,0.98676,3.57min,65.60650666666665
118,0076_004_N6_03200_00320_3200_L,0,44.20067,0.98543,3.57min,56.41145333333335
119,0076_004_N6_03200_00320_3200_L,1,43.97875,0.98403,3.57min,55.67966666666666
120,0077_004_G4_00100_00025_3200_N,0,44.90451,0.99707,4.32min,59.452360000000006
121,0077_004_G4_00100_00025_3200_N,1,45.19493,0.99719,4.32min,60.23881333333333
122,0078_004_G4_00200_00050_3200_N,0,47.5337,0.99735,4.32min,66.49153333333334
123,0078_004_G4_00200_00050_3200_N,1,47.71686,0.99732,4.34min,66.97695999999999
124,0080_004_S6_00200_00050_3200_N,0,46.82622,0.9966,4.36min,64.52991999999999
125,0080_004_S6_00200_00050_3200_N,1,47.09976,0.99658,4.35min,65.25736
126,0081_004_S6_00800_00160_4400_L,0,45.44337,0.98136,4.36min,59.31832
127,0081_004_S6_00800_00160_4400_L,1,45.46639,0.98152,4.36min,59.39570666666665
128,0083_004_GP_00050_00020_4400_N,0,46.57365,0.99801,3.36min,63.997400000000006
129,0083_004_GP_00050_00020_4400_N,1,46.57723,0.99802,3.36min,64.00794666666667
130,0084_004_GP_00200_00100_4400_N,0,49.38042,0.99767,3.36min,71.44811999999999
131,0084_004_GP_00200_00100_4400_N,1,49.19663,0.99765,3.36min,70.95601333333333
132,0086_004_GP_00100_00100_5500_L,0,60.02576,0.99692,3.36min,99.76069333333332
133,0086_004_GP_00100_00100_5500_L,1,60.00709,0.99694,3.37min,99.71290666666667
134,0087_004_GP_00800_00640_5500_L,0,53.29415,0.97785,3.37min,79.90273333333334
135,0087_004_GP_00800_00640_5500_L,1,53.32178,0.97765,3.36min,79.95641333333333
136,0088_004_IP_00100_00050_5500_N,0,47.21204,0.99578,3.31min,65.47677333333334
137,0088_004_IP_00100_00050_5500_N,1,47.20749,0.99578,3.31min,65.46464
138,0089_004_IP_00500_00250_5500_N,0,50.24378,0.9972,3.31min,73.70341333333332
139,0089_004_IP_00500_00250_5500_N,1,50.40133,0.99721,3.31min,74.12454666666667
140,0090_004_IP_01600_00750_5500_N,0,53.99331,0.99721,3.32min,83.70316
141,0090_004_IP_01600_00750_5500_N,1,53.76175,0.99702,3.31min,83.06666666666666
142,0091_004_IP_00320_00080_3200_L,0,53.13378,0.99717,3.31min,81.40708
143,0091_004_IP_00320_00080_3200_L,1,53.11331,0.99714,3.31min,81.34949333333333
